BitValue X,BitValue Y
1.566435113522251e-05,8.683916330994395
1.566435783011866e-05,8.657401327804546
1.566436621984012e-05,8.623276305320905
1.566437778177558e-05,8.577555402865798
1.566439249305693e-05,8.522108745260853
1.566440900857336e-05,8.464720888798222
1.566442848659913e-05,8.403866177020966
1.566443614777973e-05,8.381794947440971
1.566444666127655e-05,8.353076381078013
1.566446066761958e-05,8.317443096395978
1.566447555801339e-05,8.282827644111055
1.566449263632075e-05,8.247103115673713
1.566452063683425e-05,8.197380676482718
1.566454922648887e-05,8.156472048411489
1.566457958700978e-05,8.122688675646296
1.566460888789404e-05,8.096985237660663
1.566464361069364e-05,8.073795090562765
1.56646921401372e-05,8.050046278444652
1.566475483244931e-05,8.030736860572359
1.566485184205919e-05,8.013635053862464
1.566497246418134e-05,8.005763541609651
1.566514007608557e-05,8.001412432315052
1.566537257084934e-05,8.000928719989361
1.566561884172432e-05,8.000638002885987
1.566592490346103e-05,8.000480957970218
1.566603281148577e-05,8.000439999531089
1.566613979645103e-05,8.000405965151852
1.566623741187054e-05,8.000379064451257
1.566633803975387e-05,8.000354913696876
1.566643804807394e-05,8.000336946811368
1.566647624394599e-05,8.000339481485216
1.566649802465428e-05,8.000351517046651
1.566653021164389e-05,8.000389661255298
1.566655439710953e-05,8.000431750158787
1.566659008151054e-05,8.000543143082892
1.566662469353342e-05,8.000983625881378
1.566664019943849e-05,8.00106473929001
1.566664907570389e-05,8.001052160349508
1.566666033234222e-05,8.001018173465745
1.56666717407101e-05,8.000974493270547
1.566668546233541e-05,8.000916612527771
1.56667006312378e-05,8.000853155976991
1.566672048202573e-05,8.00077551715607
1.566674384678322e-05,8.000696913003283
1.566677261728779e-05,8.000619047178608
1.566680786616262e-05,8.000546406880376
1.566685651631629e-05,8.000476012078799
1.566689563159074e-05,8.00043432992895
1.566694222738664e-05,8.000397520610649
1.566700119052179e-05,8.000362349665785
1.566709572384111e-05,8.000323368312086
1.566728479047973e-05,8.000272080894023
1.5667575767514e-05,8.000227703217838
1.566791690271956e-05,8.000193015202809
1.566842699769722e-05,8.00016005930131
1.566902960608115e-05,8.000133006465196
1.567002623397375e-05,8.000104050129439
1.567110995945468e-05,8.000083233837744
1.56721122074011e-05,8.000070334765013
1.567319088819087e-05,8.000059787108214
1.567444663551197e-05,8.000050759374203
1.567494763779227e-05,8.000047790238334
1.567594964235286e-05,8.000042706997325
1.567645064463316e-05,8.000040504696125
1.567745264919375e-05,8.0000366461409
1.567787350908752e-05,8.000035207876209
1.567871522887506e-05,8.000032604801515
1.567899913600625e-05,8.000031798880929
1.567956695026862e-05,8.000030284374111
1.568011398080301e-05,8.000028934682964
1.568083348060746e-05,8.000027307225894
1.568127622788956e-05,8.000026383040632
1.568142689468885e-05,8.00002608231833
1.568172822828743e-05,8.000025512653901
1.568198564692151e-05,8.00002507418019
1.568214232182535e-05,8.000024825938512
1.56823476457006e-05,8.000024490923966
1.568240896833076e-05,8.000024381049128
1.568253161359109e-05,8.00002413968045
1.568260207764082e-05,8.00002398311393
1.568267480728492e-05,8.000023813037931
1.568269382480559e-05,8.000023769993286
1.568273185984693e-05,8.000023686434224
1.568275089710158e-05,8.000023646153965
1.56827831058971e-05,8.000023580345349
1.568280466833899e-05,8.000023537674695
1.56828394056828e-05,8.000023470811438
1.568285549403792e-05,8.0000234404626
1.568287121064997e-05,8.000023411155642
1.568287989738784e-05,8.000023395079582
1.568288865372987e-05,8.000023378949043
1.56828957064777e-05,8.000023366013345
1.568290545838364e-05,8.000023348210917
1.568291374875636e-05,8.00002333314872
1.568292188178382e-05,8.000023318436144
1.568292842136084e-05,8.000023306650453
1.568293452176176e-05,8.000023295692229
1.568293823195385e-05,8.000023289043149
1.56829429854463e-05,8.000023280540521
1.568294886680554e-05,8.000023270043878
1.56829554777056e-05,8.00002325827603
1.568295905212105e-05,8.000023251926603
1.568296282326931e-05,8.00002324523849
1.568296631820795e-05,8.000023239051389
1.568296964942573e-05,8.000023233164377
1.568297377114448e-05,8.00002322589603
1.568297777716854e-05,8.000023218845445
1.568297980514995e-05,8.000023215279846
1.568298263525214e-05,8.000023210306583
1.568298470184611e-05,8.000023206677069
