/net010 X,/net010 Y
1.566590126857609e-05,0.7801377716563178
1.566601982592129e-05,0.7801164313341913
1.566612797318792e-05,0.7800969648261762
1.566622830566992e-05,0.7800789049794332
1.566632773973598e-05,0.7800610068475113
1.566639861346151e-05,0.7800482495769199
1.566648555589385e-05,0.7800325999391231
1.566650462492327e-05,0.7800291675138027
1.566654000073349e-05,0.7800227998679781
1.566656697638504e-05,0.7800179442507025
1.566660827488807e-05,0.7800105105201574
1.566662173426054e-05,0.7800080878331064
1.566663432452556e-05,0.7800058215854091
1.56666420630796e-05,0.7800044286456611
1.566665180725577e-05,0.7800026746939508
1.566666635086553e-05,0.7800000568442247
1.566667855166435e-05,0.779997860700411
1.566669235428849e-05,0.7799953762280956
1.566671074693113e-05,0.7799920655524166
1.566673318413812e-05,0.7799880268551496
1.566676065174022e-05,0.7799830826867544
1.566679484332084e-05,0.7799769282022542
1.566683698179738e-05,0.7799693432764809
1.566688077477839e-05,0.7799614605399081
1.566692600867116e-05,0.7799533184392033
1.566697522628534e-05,0.7799444592686577
1.566705395825008e-05,0.7799302875150045
1.566721142217957e-05,0.7799019440076975
1.566747677950274e-05,0.779854179689494
1.56678041817683e-05,0.779795247281712
1.566827183574834e-05,0.7797110695653129
1.566881512535738e-05,0.7796132774356845
1.566970003755056e-05,0.7794539932409053
1.567075284132264e-05,0.7792644885619251
1.567173531411342e-05,0.7790876434595739
1.56727598724406e-05,0.7789032229607018
1.56739409403079e-05,0.7786906307445658
1.567568645145436e-05,0.7783764387382086
1.567773102451211e-05,0.7780084155878166
1.56818201706276e-05,0.7772723692870329
1.568726140253758e-05,0.7762929475432472
1.569475685361843e-05,0.7749437663486691
1.570616331416183e-05,0.7728906034508862
1.571996628410902e-05,0.770406068860362
1.574042071091e-05,0.7667242720361866
1.574605296404817e-05,0.765710466471337
1.575731747032453e-05,0.7636828553415993
1.577246435767605e-05,0.760956415618314
1.57886024697967e-05,0.7580515554365819
1.580560757952132e-05,0.7549906356861835
1.582969900165737e-05,0.750654179701689
1.58534845420976e-05,0.7463727824224455
1.588513941795148e-05,0.7406749047687236
1.591722376241289e-05,0.7348997227656731
1.597795459575792e-05,0.7239681727635958
1.603478290715604e-05,0.7137390767119165
1.614843952995228e-05,0.6932808846085972
1.625769621312002e-05,0.6736146816384201
1.640561886555766e-05,0.64698860419962
1.657870374035508e-05,0.6158333267361045
1.689545750930464e-05,0.5588176483251786
1.722372963019251e-05,0.4997286665653657
1.763005678216967e-05,0.4265897792094568
1.805230793214905e-05,0.3505845722131604
1.85028052631812e-05,0.2694950526274054
1.893089483212825e-05,0.1924389302169256
1.946544741606414e-05,0.09621946510844093
1.973272370803208e-05,0.04810973255423767
2.000000000000003e-05,0
2.017278161988765e-05,0
2.037371340432013e-05,0
2.053182392156559e-05,0
2.084804495605652e-05,0
2.148048702503838e-05,0
2.17791322372997e-05,0
2.192845484343036e-05,0
2.222710005569168e-05,0
2.237051949402695e-05,0
2.265735837069748e-05,0
2.308968733470975e-05,0
2.364759248364558e-05,0
2.452361894076178e-05,0
2.567285224371572e-05,0
2.751219261105218e-05,0
2.994850485710003e-05,0
3.340851479842005e-05,0
3.877766406861042e-05,0
4.63531785667322e-05,0
5.721289592273777e-05,0
7.141683643494711e-05,0
8.948013031897377e-05,0
0.0001142547384295252,0
0.0001458327687935609,0
0.0001900169401714401,0
0.0002456255823326924,0
0.000323997126272933,0
0.0004194502031697861,0
0.0005537117891949898,0
0.0007262403756973613,0
0.0009654513853971209,0
0.001273975710051064,0
0.001684126431919817,0
0.002161332610667832,0
0.002682652154473915,0
0.003295965067441361,0
0.004,0
0.0040025,0.4499999999999817
0.004003133729355068,0.5640712839122957
0.004003450594032603,0.6211069258685308
0.004003802711553955,0.6844880797119562
0.004003889233814785,0.7000620866613391
0.004004062278336445,0.7312101005601048
0.004004110596028005,0.7399072850408291
0.004004134754873784,0.7442558772811914
0.004004183072565344,0.7529530617619156
0.004004217953063293,0.7592315513927673
0.004004245246299019,0.764144333823477
0.004004285664497074,0.7714196094733664
0.004004319913306924,0.7775843952463265
0.004004327966217842,0.7790339192115594
0.004004330553812765,0.7794996862977092
0.004004334069241341,0.7801324634413609
0.004004335939704394,0.7804691467908423
0.00400433857755488,0.7809439598784399
0.004004340579372,0.7813042869600494
0.004004341062751954,0.781391295351791
0.004004341439045832,0.7814590282498312
0.004004341568372008,0.7814823069614459
0.004004341771527795,0.7815188750030094
0.004004341955732395,0.7815520318310739
0.004004342090904119,0.7815763627414851
0.004004342153507172,0.7815876312908601
0.004004342211578443,0.7815980841197749
0.004004342250662171,0.7816051191907383
0.00400434227657431,0.781609783375714
0.004004342311309102,0.7816160356383279
0.004004342343578345,0.7816218441020379
0.004004342373646205,0.781627256316933
0.004004342392026636,0.7816305647944873
0.004004342416990592,0.7816350583064561
0.004004342433605206,0.7816380489370119
0.004004342454038125,0.781641726862476
0.004004342467747743,0.7816441945938077
0.004004342482417681,0.781646835182493
0.004004342496338977,0.7816493410158463
0.004004342514291787,0.7816525725216905
0.004004342523312657,0.7816541962782885
0.004004342535308555,0.7816563555399642
0.004004342552389887,0.7816594301795695
0.004004342569471205,0.7816625048168331
0.004004342583371405,0.7816650068529114
0.004004342598461968,0.7816677231541578
0.004004342608961905,0.7816696131429484
0.004004342618857846,0.781671394412299
0.004004342627963891,0.781673033500383
0.004004342636884864,0.7816746392755834
0.004004342643229378,0.7816757812880055
0.004004342652308397,0.7816774155113871
0.004004342656540484,0.7816781772871859
0.004004342662223868,0.7816792002962071
0.004004342669397296,0.7816804915131841
0.004004342677472087,0.7816819449756908
0.00400434268449511,0.7816832091197926
0.004004342693149953,0.7816847669915929
0.004004342703695983,0.781686665276872
0.004004342716032669,0.7816888858804167
0.004004342722697339,0.78169008552096
0.004004342731954294,0.7816917517729401
0.004004342740389235,0.7816932700623406
0.004004342750490384,0.7816950882691757
0.0040043427609683,0.7816969742939494
0.004004342772438873,0.7816990389972016
0.004004342778241192,0.7817000834145668
0.004004342786298608,0.7817015337494188
0.004004342792821509,0.7817027078716245
0.004004342804520149,0.7817048136267261
0.004004342811631505,0.7817060936709218
0.00400434281862829,0.7817073530922389
0.00400434282451245,0.7817084122409451
0.004004342831971798,0.7817097549236289
0.004004342838745614,0.781710974210488
0.004004342847888757,0.7817126199761992
0.004004342860522314,0.7817148940165303
0.004004342873941857,0.7817173095343161
0.004004342884218695,0.7817191593650734
0.004004342898382584,0.7817217088650594
0.004004342905236104,0.7817229424987235
0.004004342914974167,0.7817246953500251
0.004004342920325192,0.7817256585345572
0.004004342928810265,0.781727185847677
0.004004342934195741,0.7817281552333424
0.004004342944966693,0.7817300940046734
0.004004342953360494,0.7817316048889036
0.004004342964714728,0.7817336486510944
0.004004342977456317,0.7817359421371205
0.004004342994089267,0.7817389360680049
0.004004343013204014,0.781742376722485
0.004004343035217114,0.7817463390805829
0.004004343045017619,0.7817481031713314
0.004004343055195668,0.7817499352202189
0.004004343063459176,0.781751422651647
0.004004343075161188,0.7817535290137628
0.004004343083013148,0.7817549423666352
0.004004343092521336,0.7817566538404104
0.004004343100176549,0.7817580317787988
0.004004343108539572,0.7817595371229294
0.004004343113785323,0.7817604813580882
0.004004343119263983,0.781761467516899
0.004004343123773449,0.7817622792208844
0.004004343128503216,0.781763130578931
0.004004343133509143,0.7817640316458082
0.004004343139177095,0.7817650518770515
0.004004343144195383,0.7817659551688678
0.00400434314879711,0.7817667834797252
0.004004343152140476,0.7817673852856741
0.004004343156566633,0.7817681819938422
0.004004343160167881,0.7817688302185973
0.004004343165031737,0.7817697057126497
0.004004343171715328,0.7817709087590621
0.004004343179408304,0.7817722934946696
0.004004343189188176,0.78177405387167
0.004004343199588263,0.7817759258873375
0.004004343209611866,0.7817777301358068
