/M2/D X,/M2/D Y
1.566654175345009e-05,4.755099472829232e-12
1.566656874013497e-05,4.755036989645617e-12
1.566661006346442e-05,4.754961880801298e-12
1.566662350206744e-05,4.755043018310953e-12
1.566663608675784e-05,4.755013257409099e-12
1.566664383147172e-05,4.755087268956464e-12
1.566665357683298e-05,4.75505332949821e-12
1.566666797113696e-05,4.755098618754235e-12
1.566668017542168e-05,4.75507896743461e-12
1.566669397996744e-05,4.755110005216388e-12
1.566671238521249e-05,4.755106053794675e-12
1.566673478780213e-05,4.755130914410241e-12
1.566676222463124e-05,4.755152225738465e-12
1.566679636659132e-05,4.755162388103525e-12
1.566683843218163e-05,4.755224309952429e-12
1.566688237171146e-05,4.755206085509105e-12
1.56669275789772e-05,4.755307672018466e-12
1.566697669242104e-05,4.755245336726121e-12
1.566705530024066e-05,4.755196875381605e-12
1.566721251587988e-05,4.755346400084783e-12
1.566747737048124e-05,4.755482919166404e-12
1.566780486889813e-05,4.755634233254934e-12
1.566827204235548e-05,4.755845866258128e-12
